#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
1.691392230847589e+18,0.872796,-0.0324689,0.537974,0.999728,-0.0205217,0.0061799,-0.00921231,0.0486208,-0.0098938,-0.000417284,-0.000234196,0.00265036,-0.00699118,-1.0055,-0.328193,-0.14668
1.691392230955935e+18,0.87655,-0.0334854,0.538021,0.999724,-0.020521,0.00630247,-0.00956855,0.031365,-0.00793028,0.000981736,5.30698e-05,0.00281218,-0.00397789,0.553646,0.636557,0.159159
1.6913922310642683e+18,0.885788,-0.0357076,0.538068,0.999704,-0.0205228,0.00658203,-0.0112783,0.219643,-0.048989,0.000327094,0.000608543,0.0149382,-0.087656,4.26448,-1.00669,-0.013626
1.691392231172731e+18,0.93777,-0.0464253,0.538259,0.999568,-0.0205207,0.00812583,-0.0193971,0.710273,-0.158721,0.00229462,0.00238644,0.0484813,-0.239516,4.6174,-1.15259,0.0327093
1.6913922312809213e+18,1.04403,-0.0697776,0.538971,0.999071,-0.0203984,0.0113121,-0.0362416,1.15577,-0.286897,0.00708311,0.0063392,0.0789222,-0.375722,3.74958,-1.28329,0.0388319
1.6913922313892557e+18,1.1968,-0.101619,0.539894,0.998216,-0.0201353,0.0158468,-0.0539252,1.56054,-0.257281,-0.00335104,-0.0218177,0.0852663,-0.164917,3.03684,1.48726,-0.457838
1.6913922314976215e+18,1.37541,-0.123429,0.537415,0.99806,-0.0222354,0.0176015,-0.0554179,1.64046,-0.202497,-0.0384886,-0.0234345,-0.00893107,-0.00104962,-0.495096,0.162946,-0.180255
1.6913922316144036e+18,1.55909,-0.14515,0.53227,0.998056,-0.0233358,0.016459,-0.0553965,1.51243,-0.184023,-0.0438519,-0.0151088,-0.0234304,-0.000305705,-1.45955,0.176629,0.0141651
1.69139223172287e+18,1.71216,-0.163291,0.527705,0.998056,-0.0241517,0.0153555,-0.0553717,1.33626,-0.163034,-0.0384506,-0.0127208,-0.0181392,-0.000286132,-1.66414,0.196218,0.0665323
1.6913922318311718e+18,1.84579,-0.179243,0.523899,0.998055,-0.0247123,0.0144427,-0.0553843,1.15271,-0.139327,-0.0296266,-0.00266015,-0.0189514,-0.00193236,-1.63719,0.237163,0.08636
1.691392231939499e+18,1.95624,-0.192551,0.521149,0.998063,-0.0247582,0.0134654,-0.0554637,0.90941,-0.109997,-0.0210767,0.000588969,-0.0162747,-0.00134006,-1.19593,0.124187,0.0494316
1.6913922320479053e+18,2.05198,-0.204187,0.518925,0.99807,-0.0247597,0.0126126,-0.0555357,0.933204,-0.112703,-0.020649,0.000921656,-0.0157426,-0.00195321,1.72991,-0.194547,-0.0262691
1.691392232164569e+18,2.18265,-0.219877,0.515969,0.998075,-0.0247854,0.0115588,-0.0556667,1.30379,-0.155857,-0.0286761,0.000361719,-0.0196254,-0.00305003,3.37639,-0.395608,-0.0818959
1.6913922322729454e+18,2.34523,-0.239213,0.5127,0.998064,-0.0254,0.0108303,-0.0557262,1.67969,-0.204863,-0.0314582,-0.0149421,-0.0124146,-0.00147428,3.52693,-0.433025,-0.0512682
1.6913922323816246e+18,2.54929,-0.263448,0.508817,0.998043,-0.0263508,0.010179,-0.055785,2.06622,-0.251425,-0.0383348,-0.0187739,-0.0138613,-0.0017048,3.57862,-0.433104,-0.0731669
1.691392232489586e+18,2.79539,-0.292537,0.503652,0.998,-0.0279397,0.00997094,-0.0558283,2.44572,-0.303085,-0.0601669,-0.0283394,0.0172193,-0.00145337,3.43426,-0.398305,-0.234665
1.6913922325983826e+18,3.08351,-0.327138,0.496309,0.997955,-0.0281662,0.0124505,-0.056012,2.8121,-0.336083,-0.0751692,0.0014047,0.0586742,-0.00243832,3.34631,-0.352987,-0.0989441
1.6913922327147098e+18,3.43837,-0.369466,0.487142,0.997897,-0.0278236,0.0161818,-0.0562684,3.19875,-0.380811,-0.0855416,0.00447573,0.0685271,-0.00264911,3.27812,-0.378474,-0.151287
1.6913922328229233e+18,3.80766,-0.413475,0.476995,0.997831,-0.0274789,0.0196848,-0.0564931,3.53341,-0.423203,-0.111687,-0.000423485,0.0398379,-0.00187315,1.52563,-0.20537,-0.407135
1.6913922329312804e+18,4.18828,-0.459105,0.463722,0.997818,-0.0271774,0.0205469,-0.0565479,3.48546,-0.416395,-0.129175,0.00229998,0.00801358,0.000454303,-0.45427,0.0331053,-0.0506361
1.6913922330396227e+18,4.58916,-0.507286,0.448605,0.997811,-0.0269846,0.0208759,-0.0566521,4.06242,-0.487627,-0.155318,0.00786423,0.00392637,-0.00483356,7.45268,-0.873292,-0.302038
1.6913922331562954e+18,5.10581,-0.569526,0.428868,0.997804,-0.0264462,0.0210402,-0.0569574,4.66024,-0.558104,-0.179081,0.00565121,0.00149082,-0.00388487,2.94088,-0.373303,-0.153264
1.691392233264625e+18,5.62152,-0.631669,0.402624,0.9976,-0.0274131,0.0278154,-0.0571807,4.69699,-0.577591,-0.287222,-0.00666149,0.202439,-0.00141968,-1.36041,0.203074,-0.404896
1.6913922333729876e+18,6.12393,-0.692165,0.373693,0.997174,-0.0309315,0.0372901,-0.0574113,4.44146,-0.57249,-0.253902,-0.0945214,0.153955,-0.00168197,-3.03529,0.223566,0.285667
1.6913922334813394e+18,6.58352,-0.749649,0.343866,0.997055,-0.0344554,0.0370856,-0.0576051,4.06693,-0.520776,-0.27794,-0.0111033,-0.100207,-0.0103546,-3.60703,0.685124,0.0671512
1.691392233589706e+18,6.99745,-0.805192,0.316575,0.996915,-0.0374475,0.032364,-0.0609128,3.65031,-0.610224,-0.220854,-0.0619127,-0.0768864,-0.213426,-4.15148,-2.37516,0.573453
1.6913922337063552e+18,7.39001,-0.892506,0.295293,0.994779,-0.0409189,0.028273,-0.089107,3.13112,-0.943666,-0.135956,-0.00801791,-0.0217003,-0.715917,-4.72577,-3.05204,0.746576
1.691392233814791e+18,7.7012,-1.00644,0.284975,0.989931,-0.0401341,0.024643,-0.133486,2.68609,-1.13264,-0.0539493,0.130427,-0.0596,-0.836533,-3.4804,-0.586928,0.504791
1.6913922339230175e+18,7.98195,-1.12788,0.286232,0.984741,-0.0434533,0.0133318,-0.167983,2.66782,-1.13751,0.0637835,-0.116265,-0.27066,-0.348668,0.941183,1.9779,0.411804
1.6913922340314988e+18,8.25438,-1.23199,0.29532,0.983918,-0.0489489,-0.00487694,-0.171715,2.43635,-0.903258,0.120434,0.0138763,-0.370684,0.0233377,-4.81014,2.29214,0.085307
1.6913922341480456e+18,8.49256,-1.31993,0.306821,0.984157,-0.050621,-0.0247167,-0.168114,1.93545,-0.683089,0.111955,0.0643748,-0.305374,0.0423213,-3.65205,1.76931,0.175603
1.6913922342564805e+18,8.67163,-1.38461,0.317672,0.98429,-0.047837,-0.0385022,-0.165537,1.58783,-0.53192,0.117515,0.07488,-0.189707,0.0322092,-2.97073,0.808562,0.154899
1.691392234364776e+18,8.8227,-1.43743,0.330692,0.98433,-0.048132,-0.0451527,-0.163523,1.31752,-0.467218,0.1368,-0.0266201,-0.0741903,0.0278149,-2.18866,0.581523,-0.00164329
1.6913922344813932e+18,8.96082,-1.48564,0.345289,0.984326,-0.0506857,-0.0478421,-0.161998,1.10376,-0.39601,0.121341,-0.0350823,-0.0444094,0.0245186,-1.53809,0.560713,-0.199713
1.6913922345897377e+18,9.06958,-1.52381,0.358379,0.984447,-0.0504123,-0.048449,-0.16117,0.868827,-0.295024,0.110884,0.0235615,0.00596701,-0.00708918,-3.89866,1.36001,-0.39404
1.6913922346980718e+18,9.1518,-1.55258,0.369188,0.984519,-0.049031,-0.0481692,-0.16124,0.737006,-0.249802,0.0950522,0.0250218,0.00953053,-0.00122118,0.530301,-0.178407,0.0467827
1.6913922348064164e+18,9.24417,-1.58481,0.380867,0.984595,-0.0474364,-0.0479905,-0.161308,1.00908,-0.338434,0.1227,0.0322982,0.00651208,-0.00451892,3.49069,-1.1453,0.394084
1.6913922349230884e+18,9.37693,-1.63068,0.396904,0.984681,-0.0454192,-0.0480367,-0.161346,1.18013,-0.395565,0.139576,0.0337671,0.00374354,-0.00188096,-0.138072,0.0296435,-0.0371537
1.6913922350314243e+18,9.50535,-1.67506,0.412161,0.984752,-0.0436144,-0.0481961,-0.161366,1.22453,-0.410908,0.143385,0.0343594,0.00192578,-0.00187697,1.39385,-0.461812,0.163839
1.691392235139752e+18,9.65245,-1.72575,0.427777,0.984984,-0.0403015,-0.0468497,-0.161204,1.49001,-0.485445,0.143523,0.0750755,0.054696,0.00208932,2.99037,-0.909448,0.172567
1.6913922352484106e+18,9.82926,-1.78632,0.44506,0.985332,-0.0353531,-0.0441815,-0.160994,1.68206,-0.544694,0.157781,0.0846242,0.0660921,0.00305707,0.379941,-0.119089,0.0286332
1.691392235364774e+18,10.0254,-1.85285,0.462912,0.985706,-0.031859,-0.039635,-0.160619,1.6115,-0.542813,0.129348,0.00544457,0.109979,0.0107041,-1.24482,0.107495,-0.43627
1.6913922354731223e+18,10.1944,-1.91031,0.475938,0.986013,-0.0318686,-0.0328649,-0.160256,1.39903,-0.487834,0.0993256,-0.0266004,0.121651,0.0113437,-2.92822,0.97966,-0.23002
1.6913922355814879e+18,10.3392,-1.95998,0.486042,0.986269,-0.0313293,-0.0260913,-0.160034,1.2652,-0.431396,0.0765513,0.00737358,0.134697,0.00652975,0.477959,-0.05089,-0.0616233
1.6913922356897917e+18,10.4901,-2.01144,0.495309,0.9865,-0.0294135,-0.0186503,-0.160013,1.42493,-0.477123,0.0723562,0.0249428,0.128257,-0.00129423,1.06245,-0.167293,-0.25146
1.691392235798322e+18,10.6486,-2.06528,0.502929,0.986633,-0.0263335,-0.0133858,-0.16026,1.41614,-0.46459,0.0595352,0.0451443,0.093089,-0.00238157,-0.667242,0.231945,-0.0721012
1.6913922359065024e+18,10.795,-2.11497,0.509516,0.986722,-0.0232879,-0.00926272,-0.16047,1.25229,-0.411147,0.0530464,0.040895,0.0782825,-0.00209858,-0.937793,0.30161,-0.0160296
1.691392236023167e+18,10.9456,-2.16588,0.515276,0.986746,-0.0219427,-0.00597284,-0.160674,1.35135,-0.458764,0.0438646,-0.00142922,0.0493749,-0.00263545,2.13848,-0.781103,0.0361527
1.6913922361314706e+18,11.1025,-2.21898,0.519473,0.986717,-0.0232789,-0.00407261,-0.160718,1.45903,-0.509745,0.0349998,-0.0387392,0.0226854,0.000555429,-0.482522,0.124632,-0.0433379
